DateTime,Year,DoY,Hour,FCH4,NEE,LE,H,Ustar,Rg,Tair,Tsoil5cm,Tsoil10cm,Tsoil50cm,rH,VPD,Pa,WTH,LWOUT,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,Day,c,s
2017-06-01 11:30,2017,152,11.5,NA,-3.296954,33.85782,47.39786,0.0916,253.33,15.33,16.92,16.79,14.22,88.4,2.019003,1011.6,39.06397,410,1.059543,-0.557209,-0.1123599,-1.403625,-1.057357,-1.211352,0.7262914,-0.05450521,0.3230463,-0.1006545,0.3196462,0.08983047,0.1830968,0.01612636,152.4792,-0.8607785,0.5089797
2017-06-01 12:00,2017,152,12,0.060275,-5.216138,80.08413,109.9888,0.1036821,481.35,16.44,16.98,16.84,14.17,83.02,3.172731,1011.7,39.07538,423.8,2.39564,0.4753623,0.209151,-2.000636,-1.421638,-0.9841323,0.8880475,-0.1974136,0.3296556,-0.0713538,0.2856892,0.1021098,0.09890495,0.000367459,152.5,-0.860961,0.5086709
2017-06-01 12:30,2017,152,12.5,0.082,-5.180725,61.34695,119.5732,0.2625666,497.37,16.67,17.01,16.84,14.2,83.74,3.082963,1011.9,39.09173,423.79,2.629081,0.8081407,-0.2143046,-2.262894,-0.110264,-1.131098,0.4416338,-0.1904405,0.5050817,-0.3184964,0.2104248,0.1052044,0.07607332,-0.005794257,152.5208,-0.8611434,0.5083621
2017-06-01 13:00,2017,152,13,0.06647,-5.332903,93.63365,138.4471,0.2397625,589.05,16.87,17.02,16.84,14.2,81.05,3.638911,1012.1,39.12928,430.88,3.125775,1.157686,-0.05250624,-2.238344,-0.3992447,-0.9268826,0.7465484,-0.2434113,0.3405782,-0.1640376,0.2360518,0.1325975,0.084356,-0.01374724,152.5417,-0.8613256,0.5080533
2017-06-01 13:30,2017,152,13.5,0.06426,-5.608077,80.64411,110.9679,0.2583468,389.24,16.63,17.1,16.85,14.22,78.91,3.988599,1012.2,39.08698,424.1,2.741595,0.8675567,-0.2061414,-2.04084,-0.3224683,-1.335515,0.1385598,-0.1868143,0.1651689,-0.1042004,0.1793803,-0.2127604,0.1314176,0.008249868,152.5625,-0.8615078,0.5077444
2017-06-01 14:00,2017,152,14,0.061181,-4.344868,55.34175,85.93271,0.2434268,305.43,16.45,17.19,16.9,14.27,81.24,3.507558,1012.3,39.06199,418.64,2.140784,0.3383649,-0.3418862,-1.651175,-0.1591604,-1.371742,0.2031188,-0.1406863,0.2688666,-0.1736341,0.1953011,-0.1812854,0.1475391,0.0093334,152.5833,-0.8616898,0.5074354
2017-06-01 14:30,2017,152,14.5,0.06838,-3.92415,37.39344,60.56626,0.266549,220.01,16.2,17.3,16.94,14.3,81.8,3.349087,1012.45,38.90521,412,1.752675,0.05261814,-0.506205,-1.462245,0.1299345,-1.563637,-0.0622596,-0.1084348,0.2467164,-0.1927579,0.1891179,-0.1689173,0.1458402,0.006930507,152.6042,-0.8618718,0.5071263
2017-06-01 15:00,2017,152,15,0.056344,-3.952657,49.56868,78.33031,0.2297889,355.46,17.2,17.32,16.93,14.25,77.75,4.362871,1012.6,38.67953,420.08,2.254495,0.3334164,-0.3527134,-1.300777,-0.2693842,-1.366192,0.2160704,-0.1711237,0.3964787,-0.2335349,0.2300414,0.04050918,0.1104822,-0.007749864,152.625,-0.8620536,0.5068172
2017-06-01 15:30,2017,152,15.5,0.058945,-3.918327,62.96484,60.61447,0.2322305,276.7,17.41,17.38,16.94,14.26,76.24,4.721228,1012.6,38.55879,418.12,2.198774,0.2636852,-0.4361843,-1.105272,-0.3028913,-1.507208,0.05464742,-0.09092452,0.09809069,-0.02383308,0.2398776,-0.08206945,0.104701,-0.001695451,152.6458,-0.8622353,0.506508
2017-06-01 16:00,2017,152,16,0.042013,-3.954847,57.25101,60.79536,0.1797016,328.15,17.24,17.44,16.95,14.26,76.57,4.605891,1012.6,38.56631,420.91,2.147936,0.1595222,-0.2622004,-1.097639,-0.7073167,-1.421726,0.2491439,-0.1227034,0.2493289,-0.06881327,0.2792055,0.09304827,0.1522699,-0.01743692,152.6667,-0.8624169,0.5061987
